doc_id,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
pope_benedict_xvi__letter_to_bishops_which_accompanied_summorum_ponti,-7.323140397570618,0.15667943789137012,2.5825793766724465,-2.290712414722927,0.2165529236560641,-0.18400637619530547,-0.22237631219080492,-0.5453284439789632,0.7815755069041251,0.6861659966524833
pope_benedict_xvi__letter_to_the_bishops__priests__consecrated_person,-8.62677420266139,-2.6274177596359523,13.687365700782259,-2.2234770977538774,-1.4398144926311924,0.6216151847188292,-0.6516406171452328,-0.5023364562517588,0.49403897070815045,0.0080293140258893
pope_benedict_xvi__meeting_with_the_representatives_of_science,-11.636945513208712,-2.0726902932933045,30.83886894216026,-0.623265241217134,-3.0677083576895163,0.553152013171363,2.6444341116109,2.1294300544510993,0.4280167325948113,5.709995119098607
pope_benedict_xvi__motu_proprio,5.616339884765238,29.982482930009883,-5.7038727755092795,-14.009951930633328,-10.7044181951959,21.74743080190563,-0.9722311620632055,-0.2786676387207835,1.6242110870210436,2.412757999370392
pope_benedict_xvi__proclamation_of_st_john_of_avila_and_st_hildegarde,-8.511391860127814,-2.6005741626864642,9.863385968287153,-1.8017417006373027,-1.118448056306571,0.16993439970367769,-0.5479559691405999,-0.933860141883668,-0.1993394198658417,0.49428827697396965
pope_benedict_xvi__redactional_note_on_the_instruction_universae_eccl,-2.4602398373615055,2.5940580640447335,-5.615679468350109,-1.7319441450120612,-1.6336920042338168,1.79344522621609,0.20769781273115018,-0.8193020878654688,1.4213533173382649,0.49441965118475895
pope_benedict_xvi__responses_to_certain_questions_of_the_united_state,-2.4114831902719676,0.7392842725119222,-4.121144740043501,-1.0894793769550077,-1.7076117923587453,0.6972745736872075,0.5946622340134707,-0.7790702759448184,0.6957548470195188,0.3538570609491191
pope_benedict_xvi__responses_to_some_questions_regarding_certain_aspe,-4.329725008718274,9.675564943189421,5.036502579138459,2.920594092459019,-3.566976747116656,0.4809977915909924,0.25152862449384356,2.2528697126596335,1.1304674898787535,0.49246873496313304
pope_benedict_xvi__sacramentum_caritatis,-10.568517155250921,-2.372864535490968,31.445058677741734,-0.9959285467083285,-3.8902249572692784,1.0706240256744517,-1.6566433494714605,1.9028422943994445,0.797685903447264,-0.7614674644747145
pope_benedict_xvi__spe_salvi,-12.423737465813685,-4.165946598275105,28.209760787254105,-1.6106875546985535,-1.6187279810965587,0.011505695176323149,0.30154172810911545,-0.877143616767646,-0.6687838522932408,0.32992024195050296
pope_benedict_xvi__summorum_pontificum,-5.215907437353233,1.5759788980043625,-4.75588057716192,-0.23072237827909103,-0.14225549642781038,0.41642612707508836,-0.2632155266154878,1.2781972790916418,1.3482083373916058,0.10208160630023506
pope_bl__pius_ix__amantissimi_redemptoris,-6.685460076589505,-0.40440316222897915,-9.07388682400372,0.8153295275269459,1.7705539669453496,-0.4940894195908363,-0.056495097076104825,-0.3947871203660104,0.2595487576121216,-0.10326835116825508
pope_bl__pius_ix__amantissimus,-7.539703627284704,-0.9176650508159089,-9.043719538912505,1.2206790288737484,2.1552512425514694,-0.6727532145236114,0.057169582990591404,-0.2881414819002256,-0.4262892697220719,-0.17855453049201478
pope_bl__pius_ix__apostolicae_nostrae_caritatis,-7.1874841461026895,-0.07234497317636641,-11.401309320867885,0.7753029249482707,2.6381110097287217,-0.7199584298672791,0.25459291823662183,-0.7888121945656713,-0.6359602839178708,-0.3198041370849111
pope_bl__pius_ix__beneficia_dei,-7.330327001187098,-0.9891685477170974,-11.116800960179786,1.356606177444713,2.5715951331593065,-0.7193362101229546,0.34313261797212846,-1.1769449543336772,-0.7732202600344366,-0.20783952674359465
pope_bl__pius_ix__cum_nuper,-7.949364542798377,-1.2307008688572267,-11.817716981029644,1.307572437522991,3.1745711493020985,-0.5003057259610274,0.6911298381738922,-0.7749991395564005,-0.7461877665030336,-0.03882466015884361
pope_bl__pius_ix__cum_sancta_mater_ecclesia,-4.94937198867498,-0.14029982602944127,-9.347217006749116,0.5455756397331251,0.8507712931614464,-0.1597329469160974,0.30901409038254746,-1.0951037364359995,-0.4516113225015664,0.11247583214789066
pope_bl__pius_ix__dives_in_misericordia_deus,1.4722676268750758,1.9339838074817601,-4.985607381691244,-0.9854855727538855,-2.664559926936481,0.9048540961330435,0.8680101546904407,-0.7263317015131581,0.13116097399745097,0.18019700935973101
pope_bl__pius_ix__etsi_multa,-8.263572265385191,-1.1515774355599808,-10.486831587693882,1.9605420417823598,3.916950590873784,-0.7428394004858178,0.032981649814205656,-1.0416032194487004,0.19301959844541738,-0.45204671920660894
pope_bl__pius_ix__exultavit_cor_nostrum,-7.349812185892846,-0.7067375262905132,-11.552989550983574,1.8619225125786507,2.4696130573743837,-0.6401241814562333,0.4018741547428547,-0.7650292526450757,-1.1812026606055404,-0.29359512393808895
pope_bl__pius_ix__graves_ac_diuturnae,-7.501352464009721,-1.305580318337389,-10.559095264118923,0.8582174809029706,2.7433436572100307,-0.6734495844049085,0.3285143567325374,-1.4491001606048317,-0.5416153521604548,-0.1944844210491817
pope_bl__pius_ix__gravibus_ecclesiae,-7.165862206303458,-0.2774272362067427,-10.24200508330571,1.2590722818589657,2.146625461882562,-0.04629370608870343,-0.5238069740404258,0.16209742131070634,0.7808732745878577,-0.4914367582159842
pope_bl__pius_ix__incredibili,-7.1843035104796575,-0.7614516172521852,-13.963828518565128,1.630923392959831,3.1229427250577992,-0.8364185667977475,0.6204883546363255,-0.9698728664777075,-0.40742868972620616,-0.5212674419850845
pope_bl__pius_ix__ineffabilis_deus,-7.895275729858486,-0.5540628447724693,-8.692103247575817,1.9697156797870294,2.3790268698174972,-0.8358285104933234,-0.47856940583828494,0.6114136619488353,-0.5216904389435465,-0.36662334897336074
pope_bl__pius_ix__inter_multiplices,-7.130311235297536,-0.2917578775738957,-11.928976781874793,2.1999419234646354,2.480223416653342,-0.8943631163627148,0.7197513828912854,-1.2328830621041729,-0.6738295267294026,-0.1349236728648028
pope_bl__pius_ix__levate,-7.243481824838398,-0.7007030889624016,-13.313776273319226,1.527822961710102,2.9702375829729735,-0.6577487007242233,0.3273559392767138,-0.6315008797371927,-0.10104179909175287,-0.4755591804820441
pope_bl__pius_ix__maximae_quidem,-6.499121897214454,-0.7529636558661399,-10.749164312041328,0.7998605664917817,2.0127196778941987,-0.5429227200434511,0.4138011808992158,-1.1584857082313176,-0.5281202154815141,0.002936631246094532
pope_bl__pius_ix__meridionali_americae,-4.297389494823244,0.009213144024911557,-8.80469352065738,0.0802146190965548,0.26098689893734744,-0.06272073563247829,0.6568317738305413,-0.8535377383684309,-0.4091394353283196,0.09814177462372127
pope_bl__pius_ix__neminem_vestrum,-7.864253161921951,-0.7398384740365299,-10.141811158458834,1.9411777354440938,2.7182457062955367,-0.8989940298390101,0.00643224594120491,-0.319587372981331,-0.14991118017777733,-0.22280113567062593
pope_bl__pius_ix__nemo_certe_ignorat,-6.777074478471852,-0.6320099438888975,-10.603707778654623,1.088636527717927,2.02917676256969,-0.625117121287956,0.33565044909996516,-0.5995862214293333,-0.38621945168694616,-0.15706478692434547
