term_str,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
abnormal,-0.0019166104964572937,-0.0009089090370607223,-0.0006536783308635788,5.07579458876123e-05,0.0012692001563613417,-0.0003935255464249668,-0.000203571365589864,-0.0004314893610466776,2.076993315942597e-05,0.0002433988541794925
aboard,-0.0009138269673746158,-0.00032520428525744,-0.001213673850640549,0.00032838558027176265,0.0008534949734588569,-0.00031230596501908176,4.6066737523251986e-05,-3.85244664761244e-05,-4.777207748224163e-05,-0.00014099206597502326
abode,-0.0020789870546763754,-0.0007350192387847314,-0.0023227195778542805,0.0009258056563630555,0.001610026581242809,-0.0005210905758416492,-0.00014849484649111198,-0.0003867991258265625,-0.0006959920245499156,-0.00015186434306704817
abodes,-0.000689760116895742,-0.000286697813650426,-0.0002926413660429412,0.00013094801145221971,0.00021777223466694354,-0.0001079808761305726,-8.890229104567227e-05,-1.2553254880046595e-05,-0.000191135687851882,0.00010629311912126089
abolendo,0.00777236942681404,-0.0009369629879239467,0.0019257001288313829,0.0020473852177985558,0.00537371591966508,-0.0009878114603524698,-0.010650692834468645,-0.0005620108547747276,0.005060820101825581,0.0007745124212910334
abolire,0.010344340753416286,-0.001880428941636253,0.0008013216920101061,-0.002845616591902206,-0.0039005294415241656,-0.001746243051008137,0.002570779998889722,-0.0008501100535326369,0.005068639752161933,-0.003377859046039171
abolirli,0.008795268473746683,-0.000493029118703006,0.0030287070891305196,0.0048236266227162684,0.010133208890740476,0.002418562785424463,-0.016818632923477163,-0.0033441056473350185,0.004455488457259835,0.00272955136806317
abolish,-0.002566912357051761,-0.0009289347680558959,-0.002870385718797589,0.0008087474395135466,0.0019834338656577687,-0.0004971630150287458,-0.00021127292017896192,-0.0005025999243017611,-7.705817369675054e-05,-0.00017826572671161196
abolished,-0.0021266234291135878,-0.0003123454945808504,-0.004545403600616186,0.0007304410108155216,0.0016748904221489764,-0.0003705630155730685,-4.48914866961589e-05,-0.0002856667638582809,0.0003394571154333613,-0.0001650949079240902
abolishes,-0.000668440760841104,-8.660103356750027e-05,-0.002053930475358644,0.00043427581164977584,0.0007704373961579137,-0.00014565088889052183,-3.6456780412627416e-05,-7.1986822020919e-05,0.00031281105950668574,-0.00014402270319348925
abolishing,-0.0016092978966230987,-0.0006293045428641081,-0.00016261414074610062,5.684133524716156e-05,0.0008561346077612878,-0.000195064604571452,0.00016204978877955588,0.0004671494122371075,0.0002583025970209342,0.0005842675445050079
abolita,0.011146240059190455,-0.0022226393318214212,0.003767137318253356,0.00458174091829957,0.022014952730034485,0.012468887170375727,0.014244980956217483,0.00978953022613594,-0.03468407696426581,0.01361596232747996
abolition,-0.0012659702496476627,0.00021500441601171456,-0.00268829994507953,0.00032725686896514577,0.0004378068961918597,0.0003704541030151462,0.00022621951188172778,-0.00047196411459785335,0.0003901836670264591,-3.1424976444435876e-05
abolito,0.009932648389058387,-0.0009157962987344435,0.0028259200533433046,0.0023634931155651915,0.006112876026512533,-0.0011750408618996816,-0.013720365190483329,0.00040862781275501135,0.008095259242643166,0.0037833510382016154
abolizione,0.011238108017534576,-0.0010209797520614788,0.0052439326638001275,0.009687509415654933,0.025265878888798835,0.008630522548992225,-0.020295924471893535,-0.008228316169421164,0.005141151309758199,-0.011123330157566417
abominable,-0.001857077201573771,-0.0006322908251003597,-0.004953027192161214,0.0009458347759311006,0.002022725757443811,-0.0006026539337231138,0.00011354369816017428,-0.0004313207877821348,-0.000664516790414374,-0.00038764267472029325
abominablejoustsand,-0.0007652176486015973,-0.00013013821094811875,-0.002600877091594764,0.0002731713810543863,0.0011359565505449946,-4.731112057759256e-05,-0.0002578981359351419,0.0008586254368835308,0.0013125065306661883,-0.0004194945312824108
abominates,-0.0006069767860034374,-6.226104668657341e-05,-0.0019071176749904791,0.00028580861586162133,0.0005153655573672648,-8.369478642235778e-05,-7.098875401164042e-05,9.90436532397083e-05,0.00040010996505391227,-1.965880996711699e-05
abomination,-0.0007329148964250506,-0.00021321817163979696,-0.001579710432582016,0.00022503804748511807,0.0006697092314710191,-0.00014053181287510726,3.2447207210711916e-05,2.6687177849015656e-05,0.00019327643861754412,-0.0001940175038600239
abominations,-0.0009218675781458253,-0.00027475679387483194,-0.0029546383844030995,0.0004992249189886397,0.0010673083047480635,-0.00028068905766915345,9.425306684262691e-05,-0.00016848045795118686,-0.00019918140179666638,-0.00022943802277749576
aboriginal,-0.0014991708557483177,-0.0013825487192448134,0.009484286218625152,-0.0012975510597735289,-0.0009816399063950765,0.00022741736341378552,-0.0006279582230642183,-0.0003334206796133729,-4.0226646360277635e-05,-0.00023631985562674402
aborted,-0.0012480341579527785,-0.0014296403720954706,0.010443808691299176,-0.0027436322017641178,-0.0019674459236572774,5.134811909300314e-05,-0.0006774750586342832,-0.00026432129363839515,0.002623665117976102,0.00032901528172386363
abortion,-0.0020403030504297526,-0.0021921244881402627,0.014843860371954058,-0.0030441833213646296,-0.001974349105199919,0.00023438903961293993,-0.0005462401647788554,7.444713054571715e-05,0.0016105322773096189,0.0001209784330739725
abortions,-0.0013544251680251563,-0.0015275912307076793,0.010724083710489402,-0.002694660313784127,-0.0019221836442121047,-1.6777608764790118e-06,-0.0007064644269670702,-0.00023299203003141665,0.002573219964319633,0.0003380090114268926
abortive,-0.0012608325497195524,-0.0010748085551262293,0.005009865666521323,-0.0015036603380423938,-0.000646999723655308,-0.00017623311769820487,-0.0004777595969338334,-0.00025031696923200476,0.0018343689791458103,0.00024090461058311774
abound,-0.0027017895890645,-0.001116883714505023,-0.002394717649303752,0.0007352462038101336,0.0020043702497840542,-0.0005564102737897501,-2.2923144127857456e-05,-0.00015909429784683832,-0.0006074697375588444,-0.0002353669448581595
abounded,-0.0015749028572966848,-0.00043079268762720744,-0.002674222401629332,0.0009232136360948205,0.0014367783825591596,-0.00031959051433400786,-0.0003256037691452766,-0.00010192800042361171,-0.000366908004121674,-0.00034062315684078013
abounding,-0.001660578237840939,-0.0005897269152173103,-0.002668575438549265,0.0007061961630125763,0.0014108434763081183,-0.00045586327261294815,-0.00017774150121918693,-0.00010879777189963275,-0.0005372556942450279,-0.00014328669367807842
