term_str,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
moral,0.0015260524,7.1688623e-06,0.0013809128,0.0016642443,0.00019601092,0.0003842163,8.167208e-08,7.3440788e-06,8.2249734e-08,0.0025983902
rule,0.0015257171,4.596599e-07,4.825053e-06,0.0002739631,6.7422366e-06,0.00064163463,3.7113832e-06,0.00022642445,0.00015957304,0.00021370448
still,0.0015162611,0.0009616777,0.00076082477,0.00073816744,0.0005349718,0.00022477238,0.000583558,0.00072886574,0.00079335563,0.0011141432
nothing,0.0015100435,2.2842119e-06,9.942142e-06,0.00042776682,0.00015239925,4.9220464e-05,0.0003129169,1.862822e-05,0.0010514772,9.340566e-05
love,0.0014777184,0.00088788517,0.00056419446,0.010113786,0.0064234887,2.4465479e-07,0.010874812,0.005161023,0.008684912,0.00060122274
necessary,0.001472657,2.8697775e-06,0.00010668831,0.0007878943,0.0011874397,0.0024956062,4.585242e-05,0.00047836517,0.00028067944,0.0021671036
manner,0.0014673783,4.5967846e-07,2.137345e-05,0.000353206,0.0001626897,0.00075234415,3.9249022e-05,3.950028e-07,7.583324e-05,0.00010048919
others,0.0014649952,1.4156953e-05,1.3231795e-05,0.00060297735,0.0012205548,0.0003026728,0.00025325012,0.00014336545,0.004566522,0.0016436685
child,0.0014648752,6.0139614e-06,0.00037577044,0.001347814,0.0005793593,7.01118e-06,0.002682438,0.0012153938,0.004119286,0.0019990455
fact,0.0014585233,8.823609e-05,0.000493635,0.0030887774,0.00055024936,0.001148735,0.00079035637,0.0005803071,0.00067981036,0.0016819385
certain,0.0014520728,0.000106853695,9.6861e-05,0.0020072598,0.0002798176,0.001332273,0.00018461402,0.00024474296,0.00047317456,0.0010224709
body,0.0014420421,7.085758e-05,1.6890563e-07,0.002717104,0.0010079206,0.0008976063,0.0020780065,0.0001655892,9.129863e-05,0.00027831076
however,0.0014240232,8.416812e-06,6.18094e-06,0.0010786372,0.00021811285,0.0020662218,0.0005372723,0.00018690607,0.0011244158,0.00081545266
hand,0.0014199658,1.0462043e-05,7.267086e-05,0.0009458324,0.0006256891,0.000642481,0.0015035577,0.00022405409,0.0019549641,0.000985047
name,0.0014177698,0.00043709183,0.00087370607,0.0006112807,0.001119031,0.0012966015,0.0020700658,0.0005031239,0.0009908784,0.00031728682
could,0.0014058979,0.00012436218,0.00024928257,0.0009651761,0.00011296915,0.00026121215,0.00057096645,0.0002880902,0.0011162799,0.0006272841
show,0.0013960322,9.668449e-05,0.00073650404,0.0013136584,0.0010627487,0.0002334371,0.0011527014,0.0008874394,0.00130973,0.0009501713
leo,0.0013917539,4.8986258e-05,3.4237215e-07,9.9741344e-05,6.92308e-08,0.0003378897,0.0001689527,0.00065874396,0.00038130037,3.4702876e-05
find,0.0013877082,0.00014006124,0.0010257887,0.0031805802,0.0013280938,0.00017043628,0.0013359017,0.00082759926,0.0030342,0.001701428
wish,0.0013860986,0.0005947705,0.00953433,0.0010954607,0.00092302426,0.000999451,0.0012078359,0.0037435167,0.00047078164,0.001120927
long,0.0013798723,0.0006278359,0.0013950934,0.00016907499,0.00029811982,0.0003583932,0.00053744175,0.0004515362,0.00059937494,0.00042550368
subject,0.0013761997,4.598417e-07,5.5214e-06,0.0010838689,2.2230324e-05,0.0013149137,3.8793372e-05,4.8881566e-06,4.7256985e-06,0.0005896293
though,0.0013575009,6.843252e-05,0.00010902577,0.00069798226,0.0001696303,0.00018420427,0.00027187658,2.7265733e-06,0.00040512902,0.00015652955
world,0.0013527393,0.0023688718,0.002938811,0.0042731822,0.0035343943,0.00013640182,0.0066523473,0.006236379,0.0035060595,0.009245472
end,0.0013303821,2.883839e-05,0.00045025954,0.0009237901,0.00029500233,0.00063860527,0.001979626,0.00106325,0.0017637287,0.001236465
liberty,0.001325742,5.573664e-07,0.00039116194,5.7775815e-05,1.7951277e-05,1.5034731e-05,1.583383e-05,8.964976e-08,8.3056726e-08,0.000117480864
heavenly,0.0013256337,7.3593774e-06,5.226842e-05,4.8994192e-05,0.0001080897,2.4578122e-07,0.0008410649,0.0006426282,8.191537e-08,7.747047e-08
might,0.0013232176,0.0001049484,2.6936443e-05,0.0005578715,0.00021596988,0.00032475757,0.0007667406,5.573398e-05,0.0006152428,0.00011839106
supreme,0.0013182287,0.00013988662,0.00019130428,0.0004696929,0.00022521164,0.0019877777,0.00030293557,9.7617565e-05,8.13128e-08,8.343656e-08
help,0.0013165385,7.1222865e-05,0.0009636829,0.0006085261,0.0027138023,0.00081954146,0.0010097486,0.0033269748,0.003748271,0.0020747527
consider,0.0013056701,1.2115303e-05,5.079907e-06,0.001139831,0.00032439758,0.001608103,0.00021649698,6.207294e-05,0.0005362024,0.0010416837
labor,0.0013031209,4.6211036e-07,1.235158e-07,1.2155105e-07,3.0340712e-05,2.5250702e-07,8.1662165e-08,8.964887e-08,8.131986e-08,5.690478e-08
kind,0.0013007004,6.8495174e-05,0.0013161914,0.0005865886,0.00027254436,0.00048531612,3.4826233e-05,0.00015695853,0.00052346033,0.0007769828
less,0.001300392,5.6461173e-05,5.6604804e-05,0.000366363,0.00015588371,0.00022313728,1.1556749e-05,2.3655468e-05,0.00030648033,0.0008210281
peace,0.0012831592,0.0019568084,0.01606823,6.860703e-07,2.8093644e-05,2.4615196e-07,0.0048101074,0.0006843563,0.0021065725,0.006365761
ever,0.0012784046,0.00033826244,0.0012602452,0.0011251082,0.0020757287,0.00010143947,0.0017386739,0.0014949867,0.00017282793,0.0012976425
call,0.001275089,0.000219768,3.345839e-05,0.0028800203,0.0067006433,0.0007913342,0.002768988,0.0018705387,0.0025546437,0.002590369
yet,0.0012603204,0.00039376097,6.267322e-06,0.0009531451,0.0004636808,8.015967e-05,0.0007975177,2.3068142e-06,0.0019220699,0.0008393283
