doc_id,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
pope_benedict_xiv__celebrationem_magni,2.6767709900173818e-05,2.676698341451985e-05,2.676694648470938e-05,2.676687081287493e-05,2.6767078642699184e-05,0.999759095541361,2.6766838025183536e-05,2.67669235747542e-05,2.6768007675677617e-05,2.6767100108468203e-05
pope_benedict_xiv__certiores_effecti,0.00014513841113681663,0.0001451386418449522,0.00014513827603872956,0.00014513848012888417,0.00014513886781356106,0.9986937540037593,0.0001451385476675808,0.0001451383879304979,0.00014513815264854285,0.00014513823103127804
pope_benedict_xiv__cum_illud_semper,3.0340039138005354e-05,3.0339999851523253e-05,3.0340012395197252e-05,3.0339946190553726e-05,3.0340166506132457e-05,0.9997269398338267,3.034002906791017e-05,3.0339940545760696e-05,3.0339910881591263e-05,3.034012159656004e-05
pope_benedict_xiv__cum_multorum_charitate,0.00042553885040490496,0.00042553323956861036,0.00042553449050893933,0.0004255386394283659,0.0004255353153216041,0.9961701794324942,0.0004255354667918512,0.00042553382298800584,0.0004255344205500244,0.0004255363219435739
pope_benedict_xiv__cum_religiosi,0.2822623569087265,0.00015224664412214305,0.09031531061359943,0.03543734721334201,0.04053969674611938,0.0001522084755983725,0.45892496432354535,0.0014192217780754533,0.00015225207122851448,0.09064439522564294
pope_benedict_xiv__cum_semper_oblatas,3.7272497866779255e-05,3.727184390606052e-05,3.727189525618756e-05,3.7271947014261805e-05,3.727188475086492e-05,0.9996645514830858,3.72718636809939e-05,3.7272519541200526e-05,3.727199367021926e-05,3.727207122762784e-05
pope_benedict_xiv__elapso_proxime_anno,0.00015128763162571124,0.00015128674874726475,0.00015128637444795898,0.0001512863806428625,0.00015128628029144813,0.9986384200272661,0.00015128631759513323,0.000151286772726863,0.00015128643333500144,0.00015128703332177004
pope_benedict_xiv__etsi_minime,5.263387291480591e-05,5.263197596687765e-05,5.263231366163968e-05,5.263250833281453e-05,5.2632576073013064e-05,0.9995263044797386,5.2632378609331685e-05,5.263486932890223e-05,5.263222547572895e-05,5.263279989830373e-05
pope_benedict_xiv__ex_omnibus,0.1255556746881151,0.00014623402445983368,0.11135708122739876,0.00014623649551039975,0.00014623989651413864,0.00014620143644854727,0.3229384491961928,0.007254773384809618,0.00014623468575794194,0.4321628749647928
pope_benedict_xiv__ex_quo,0.6357505893495443,1.049594290986376e-05,1.376212817020666e-05,0.015031563015596036,1.0496226793660804e-05,1.0494651578921889e-05,0.0028293706390089706,0.12330304447523283,1.049564011032793e-05,0.22302968793105488
pope_benedict_xiv__gravissimo_animi,0.0001666700576803637,0.0001666674641385712,0.00016666812514450595,0.00016666801427960446,0.00016666730985786342,0.9984999873764909,0.00016666793414447313,0.00016666843017544347,0.00016666757353421793,0.00016666771455431918
pope_benedict_xiv__gravissimum_supremi,6.0865111596735475e-05,6.0864686993348966e-05,6.0864903162075325e-05,6.086464463228413e-05,6.086480216347736e-05,0.9994522170236572,6.0864697504229435e-05,6.086468581150986e-05,6.0864686872745597e-05,6.086475760649098e-05
pope_benedict_xiv__in_suprema_catholicae,9.671270395325821e-05,9.671245979204094e-05,9.671242276172383e-05,9.6712180579884e-05,9.671288603070716e-05,0.999129587469722,9.671237659989139e-05,9.671255896254937e-05,9.671212180221005e-05,9.671281979587747e-05
pope_benedict_xiv__in_suprema_universalis,0.00021097089003423362,0.00021097076234688532,0.00021097083236466119,0.00021097114746583158,0.00021097061787786475,0.9981012618852162,0.00021097101056320703,0.0002109709275474604,0.00021097073268704983,0.00021097119389650693
pope_benedict_xiv__inter_caetera,6.963886823685185e-05,6.963853119006257e-05,6.963872756406307e-05,6.963842053967829e-05,6.963878491056802e-05,0.9993732523711694,6.963844073318032e-05,6.963857941560439e-05,6.963847767403528e-05,6.963879856661892e-05
pope_benedict_xiv__inter_omnigenas,4.295549644817857e-05,4.295548966676697e-05,4.295546146051039e-05,4.29555839118233e-05,4.295562527140284e-05,0.9996133998176452,4.295574885298094e-05,4.295584426306026e-05,4.295550207503492e-05,4.2955430404950095e-05
pope_benedict_xiv__inter_praeteritos,7.6998237496015e-06,7.699607871882208e-06,7.699742170978366e-06,7.699556373095638e-06,7.69964057579661e-06,0.9999307033263697,7.699534110305151e-06,7.699561561285075e-06,7.69958421002558e-06,7.699623007305286e-06
