term_str,doc_id
labor,vatican__francesco__en__messages_pont_messages_2019_documents_papa_francesco_20190610_messaggio_labourconference_html
labor,vatican__francesco__en__messages_pont_messages_2021_documents_20210701_messaggio_padre_rego_html
labor,vatican__francesco__en__messages_pont_messages_2021_documents_papa_francesco_20210415_videomessaggio_conferenza_londra_html
labor,vatican__francesco__en__messages_pont_messages_2022_documents_20220321_messaggio_9_forum_mondiale_acqua_html
labor,vatican__francesco__en__speeches_2014_august_documents_papa_francesco_20140814_corea_incontro_vescovi_html
labor,vatican__francesco__en__speeches_2014_may_documents_papa_francesco_20140509_consiglio_nazioni_unite_html
labor,vatican__francesco__en__speeches_2015_july_documents_papa_francesco_20150708_ecuador_religiosi_html
labor,vatican__francesco__en__speeches_2015_july_documents_papa_francesco_20150709_bolivia_movimenti_popolari_html
labor,vatican__francesco__en__speeches_2015_september_documents_papa_francesco_20150903_sacerdoti_schonstatt_html
labor,vatican__francesco__en__speeches_2015_september_documents_papa_francesco_20150926_usa_liberta_religiosa_html
labor,vatican__francesco__en__speeches_2016_april_documents_papa_francesco_20160416_lesvos_cittadinanza_html
labor,vatican__francesco__en__speeches_2018_november_documents_papa_francesco_20181112_plenaria_accademia_scienze_html
labor,vatican__francesco__en__speeches_2021_november_documents_20211119_conferenza_lavorominorile_html
labor,vatican__francesco__en__speeches_2022_december_documents_20221219_cgil_html
labor,vatican__francesco__en__speeches_2023_august_documents_20230806_portogallo_voloritorno_html
labor,vatican__john-paul-ii__en__apost_constitutions_documents_hf_jp_ii_apc_15081990_ex_corde_ecclesiae_html
labor,vatican__john-paul-ii__en__apost_constitutions_documents_hf_jp_ii_apc_19880628_pastor_bonus_html
labor,vatican__john-paul-ii__en__apost_exhortations_documents_hf_jp_ii_exh_02121984_reconciliatio_et_paenitentia_html
labor,vatican__john-paul-ii__en__apost_exhortations_documents_hf_jp_ii_exh_15081989_redemptoris_custos_html
labor,vatican__john-paul-ii__en__apost_exhortations_documents_hf_jp_ii_exh_19811122_familiaris_consortio_html
labor,vatican__john-paul-ii__en__apost_exhortations_documents_hf_jp_ii_exh_22011999_ecclesia_in_america_html
labor,vatican__john-paul-ii__en__apost_letters_1986_documents_hf_jp_ii_apl_26081986_augustinum_hipponensem_html
labor,vatican__john-paul-ii__en__apost_letters_1995_documents_hf_jp_ii_apl_19950502_orientale_lumen_html
labor,vatican__john-paul-ii__en__encyclicals_documents_hf_jp_ii_enc_30121987_sollicitudo_rei_socialis_html
labor,vatican__john-paul-ii__en__homilies_1979_documents_hf_jp_ii_hom_19791004_usa_des_moines_html
labor,vatican__john-paul-ii__en__homilies_1981_documents_hf_jp_ii_hom_19810221_agricoltori_html
labor,vatican__john-paul-ii__en__homilies_1981_documents_hf_jp_ii_hom_19810222_indigeni_html
labor,vatican__john-paul-ii__en__letters_1986_documents_hf_jp_ii_let_19861104_episcopato_usa_html
labor,vatican__john-paul-ii__en__messages_sick_documents_hf_jp_ii_mes_16101996_world_day_of_the_sick_1997_html
labor,vatican__john-paul-ii__en__speeches_1981_february_documents_hf_jp_ii_spe_19810220_filippine_bacolod_zucchero_html
labor,vatican__john-paul-ii__en__speeches_1981_february_documents_hf_jp_ii_spe_19810220_iloilo_movimenti_cattolici_html
labor,vatican__john-paul-ii__en__speeches_1981_february_documents_hf_jp_ii_spe_19810221_manila_auditorium_html
labor,vatican__john-paul-ii__en__speeches_1982_october_documents_hf_jp_ii_spe_19821016_lavoratori_portuali_html
labor,vatican__john-paul-ii__en__speeches_1984_may_documents_hf_jp_ii_spe_19840505_lavoratori_pusan_html
labor,vatican__john-paul-ii__en__speeches_1985_november_documents_hf_jp_ii_spe_19851118_corea_ad_limina_html
labor,vatican__john-paul-ii__en__speeches_1985_october_documents_hf_jp_ii_spe_19851025_vescovi_filippine_html
labor,vatican__john-paul-ii__en__speeches_1989_may_documents_hf_jp_ii_spe_19890508_quaker_oats_company_html
labor,vatican__john-paul-ii__en__speeches_1990_march_documents_hf_jp_ii_spe_19900303_giappone_ad_limina_html
