doc_id,vader_neg,vader_neu,vader_pos,vader_compound
vatican__francesco__en__speeches_2019_february_documents_papa_francesco_20190207_personale_reginacoeli_html,0.17,0.654,0.176,0.4604
vatican__francesco__en__speeches_2019_february_documents_papa_francesco_20190208_fondazione_galileo_html,0.07,0.705,0.225,0.9964
vatican__francesco__en__speeches_2019_february_documents_papa_francesco_20190209_accademia_alfonsiana_html,0.069,0.712,0.219,0.9998
vatican__francesco__en__speeches_2019_february_documents_papa_francesco_20190209_associazione_magistrati_html,0.047,0.789,0.164,0.9994
vatican__francesco__en__speeches_2019_february_documents_papa_francesco_20190214_cong_culto_divino_html,0.023,0.818,0.16,0.9996
vatican__francesco__en__speeches_2019_february_documents_papa_francesco_20190214_fao_html,0.082,0.713,0.205,0.9999
vatican__francesco__en__speeches_2019_february_documents_papa_francesco_20190220_diocesi_benevento_html,0.118,0.659,0.223,0.9974
vatican__francesco__en__speeches_2019_february_documents_papa_francesco_20190221_incontro_protezioneminori_apertura_html,0.062,0.756,0.182,0.9934
vatican__francesco__en__speeches_2019_february_documents_papa_francesco_20190222_incontro_protezioneminori_html,0.015,0.882,0.103,0.9841
vatican__francesco__en__speeches_2019_february_documents_papa_francesco_20190224_incontro_protezioneminori_chiusura_html,0.202,0.69,0.107,-1.0
vatican__francesco__en__speeches_2019_february_documents_papa_francesco_20190225_apostoliki_diakonia_html,0.008,0.737,0.254,0.9995
vatican__francesco__en__speeches_2019_february_documents_papa_francesco_20190225_plenaria_accademia_vita_html,0.052,0.807,0.141,0.9994
vatican__francesco__en__speeches_2019_february_documents_papa_francesco_20190228_card_agostinobea_html,0.029,0.747,0.224,0.9997
vatican__francesco__en__speeches_2019_february_documents_papa_francesco_20190228_circolo_sanpietro_html,0.065,0.743,0.192,0.9987
vatican__francesco__en__speeches_2019_january_documents_papa_francesco_20190107_corpo_diplomatico_html,0.076,0.748,0.176,0.9999
vatican__francesco__en__speeches_2019_january_documents_papa_francesco_20190112_professori_storiadellachiesa_html,0.052,0.79,0.159,0.9984
vatican__francesco__en__speeches_2019_january_documents_papa_francesco_20190117_ispettoratops_vaticano_html,0.034,0.793,0.174,0.9984
vatican__francesco__en__speeches_2019_january_documents_papa_francesco_20190119_ecumenici_luterani_finlandia_html,0.047,0.775,0.178,0.9987
vatican__francesco__en__speeches_2019_january_documents_papa_francesco_20190123_panama_volo_andata_html,0.021,0.81,0.168,0.9928
vatican__francesco__en__speeches_2019_january_documents_papa_francesco_20190124_panama_apertura_gmg_html,0.037,0.717,0.247,1.0
vatican__francesco__en__speeches_2019_january_documents_papa_francesco_20190124_panama_autorita_html,0.024,0.749,0.227,0.9998
vatican__francesco__en__speeches_2019_january_documents_papa_francesco_20190124_panama_vescovi_centroamericani_html,0.08,0.734,0.186,1.0
vatican__francesco__en__speeches_2019_january_documents_papa_francesco_20190125_panama_viacrucis_gmg_html,0.138,0.698,0.164,0.9951
vatican__francesco__en__speeches_2019_january_documents_papa_francesco_20190126_panama_veglia_giovani_html,0.072,0.722,0.207,0.9999
vatican__francesco__en__speeches_2019_january_documents_papa_francesco_20190127_panama_casa_hogar_html,0.08,0.716,0.203,0.9997
vatican__francesco__en__speeches_2019_january_documents_papa_francesco_20190127_panama_volo_ritorno_html,0.094,0.767,0.14,0.9996
vatican__francesco__en__speeches_2019_january_documents_papa_francesco_20190127_panama_volontari_gmg_html,0.057,0.708,0.235,0.9999
vatican__francesco__en__speeches_2019_january_documents_papa_francesco_20190129_rota_romana_html,0.025,0.737,0.238,0.9998
vatican__francesco__en__speeches_2019_july_documents_papa_francesco_20190705_sinodo_chiesaucraina_html,0.07,0.744,0.186,0.9998
vatican__francesco__en__speeches_2019_june_documents_papa_francesco_20190601_romania_incontro_mariano_html,0.042,0.713,0.244,1.0
vatican__francesco__en__speeches_2019_june_documents_papa_francesco_20190601_romania_malati_cattedrale_html,0.048,0.667,0.284,0.9785
vatican__francesco__en__speeches_2019_june_documents_papa_francesco_20190602_romania_comunita_rom_html,0.106,0.685,0.209,0.9991
vatican__francesco__en__speeches_2019_june_documents_papa_francesco_20190604_giudici_panamericani_html,0.103,0.735,0.162,0.9994
vatican__francesco__en__speeches_2019_june_documents_papa_francesco_20190606_centrivocazioni_chieseeuropee_html,0.046,0.755,0.198,0.9999
vatican__francesco__en__speeches_2019_june_documents_papa_francesco_20190608_charis_html,0.044,0.733,0.224,0.9999
vatican__francesco__en__speeches_2019_june_documents_papa_francesco_20190608_fondazione_centesimusannus_html,0.085,0.707,0.208,0.9988
vatican__francesco__en__speeches_2019_june_documents_papa_francesco_20190610_cappellani_aviazione_html,0.024,0.779,0.197,0.9997
vatican__francesco__en__speeches_2019_june_documents_papa_francesco_20190610_roaco_html,0.095,0.698,0.207,0.9991
vatican__francesco__en__speeches_2019_june_documents_papa_francesco_20190613_federazione_pattinaggio_html,0.004,0.66,0.336,0.9992
vatican__francesco__en__speeches_2019_june_documents_papa_francesco_20190613_pellegrini_panama_html,0.055,0.716,0.228,0.9991
vatican__francesco__en__speeches_2019_june_documents_papa_francesco_20190614_compagnie_petrolifere_html,0.08,0.739,0.182,0.9987
vatican__francesco__en__speeches_2019_june_documents_papa_francesco_20190615_trinitari_html,0.046,0.746,0.208,0.9998
vatican__francesco__en__speeches_2019_june_documents_papa_francesco_20190617_frati_minori_conventuali_html,0.021,0.783,0.196,0.9998
vatican__francesco__en__speeches_2019_june_documents_papa_francesco_20190621_teologia_napoli_html,0.042,0.793,0.165,1.0
vatican__francesco__en__speeches_2019_june_documents_papa_francesco_20190622_fiamc_html,0.045,0.75,0.205,0.9996
vatican__francesco__en__speeches_2019_june_documents_papa_francesco_20190622_giovani_html,0.033,0.847,0.12,0.9986
vatican__francesco__en__speeches_2019_june_documents_papa_francesco_20190627_apostolato_delmare_html,0.068,0.786,0.147,0.9977
vatican__francesco__en__speeches_2019_june_documents_papa_francesco_20190627_fao_html,0.097,0.723,0.181,0.9958
vatican__francesco__en__speeches_2019_june_documents_papa_francesco_20190628_apostolato_dipreghiera_html,0.034,0.736,0.23,0.9999
vatican__francesco__en__speeches_2019_june_documents_papa_francesco_20190628_patriarcato_ecumenico_html,0.029,0.749,0.222,0.9994
vatican__francesco__en__speeches_2019_march_documents_papa_francesco_20190304_archivio_segretovaticano_html,0.057,0.789,0.154,0.998
vatican__francesco__en__speeches_2019_march_documents_papa_francesco_20190304_pontcommissione_americalatina_html,0.052,0.751,0.197,0.9999
vatican__francesco__en__speeches_2019_march_documents_papa_francesco_20190307_liturgiapenitenziale_presbiteriroma_html,0.106,0.714,0.18,0.9999
vatican__francesco__en__speeches_2019_march_documents_papa_francesco_20190308_american_jewish_committee_html,0.086,0.719,0.196,0.9988
vatican__francesco__en__speeches_2019_march_documents_papa_francesco_20190308_religioni_svilupposostenibile_html,0.086,0.752,0.162,0.9994
vatican__francesco__en__speeches_2019_march_documents_papa_francesco_20190309_federazione_ciclisticaitaliana_html,0.019,0.739,0.242,0.9994
vatican__francesco__en__speeches_2019_march_documents_papa_francesco_20190315_conclusione_esercizispirituali_html,0.014,0.82,0.166,0.9948
vatican__francesco__en__speeches_2019_march_documents_papa_francesco_20190316_confederazione_cooperative_html,0.079,0.732,0.19,0.9999
vatican__francesco__en__speeches_2019_march_documents_papa_francesco_20190318_corte_dei_conti_html,0.068,0.725,0.207,0.9994
vatican__francesco__en__speeches_2019_march_documents_papa_francesco_20190318_famiglia_camilliana_html,0.062,0.735,0.202,0.9996
vatican__francesco__en__speeches_2019_march_documents_papa_francesco_20190321_medici_pediatri_html,0.019,0.834,0.147,0.9992
vatican__francesco__en__speeches_2019_march_documents_papa_francesco_20190322_centro_turistico_giovanile_html,0.034,0.753,0.212,0.9997
vatican__francesco__en__speeches_2019_march_documents_papa_francesco_20190322_parlamentari_sancirillo_html,0.024,0.785,0.191,0.9983
vatican__francesco__en__speeches_2019_march_documents_papa_francesco_20190325_visita_loreto_html,0.026,0.76,0.213,0.9999
vatican__francesco__en__speeches_2019_march_documents_papa_francesco_20190329_penitenzieria_apostolica_html,0.029,0.72,0.251,0.9998
vatican__francesco__en__speeches_2019_march_documents_papa_francesco_20190330_appello_marocco_html,0.0,0.842,0.158,0.9884
vatican__francesco__en__speeches_2019_march_documents_papa_francesco_20190330_autorita_marocco_html,0.057,0.716,0.226,0.9998
vatican__francesco__en__speeches_2019_march_documents_papa_francesco_20190330_marocco_voloandata_html,0.0,0.821,0.179,0.9817
vatican__francesco__en__speeches_2019_march_documents_papa_francesco_20190330_migranti_marocco_html,0.051,0.752,0.197,0.9998
vatican__francesco__en__speeches_2019_march_documents_papa_francesco_20190331_marocco_voloritorno_html,0.099,0.754,0.147,0.9997
vatican__francesco__en__speeches_2019_march_documents_papa_francesco_20190331_sacerdoti_marocco_html,0.053,0.765,0.183,0.9998
vatican__francesco__en__speeches_2019_may_documents_papa_francesco_20190502_plenaria_scienze_sociali_html,0.078,0.712,0.21,0.9998
vatican__francesco__en__speeches_2019_may_documents_papa_francesco_20190503_incontro_industria_mineraria_html,0.031,0.805,0.164,0.9996
vatican__francesco__en__speeches_2019_may_documents_papa_francesco_20190505_bulgaria_autorita_html,0.036,0.797,0.167,0.9993
vatican__francesco__en__speeches_2019_may_documents_papa_francesco_20190505_bulgaria_patriarca_html,0.037,0.767,0.196,0.9997
vatican__francesco__en__speeches_2019_may_documents_papa_francesco_20190505_bulgaria_voloandata_html,0.0,0.86,0.14,0.9871
vatican__francesco__en__speeches_2019_may_documents_papa_francesco_20190506_bulgaria_cattolici_html,0.078,0.7,0.222,1.0
vatican__francesco__en__speeches_2019_may_documents_papa_francesco_20190506_bulgaria_centro_profughi_html,0.053,0.726,0.221,0.9793
vatican__francesco__en__speeches_2019_may_documents_papa_francesco_20190507_macedoniadelnord_autorita_html,0.033,0.719,0.247,0.9998
vatican__francesco__en__speeches_2019_may_documents_papa_francesco_20190507_macedoniadelnord_consacrati_html,0.071,0.752,0.177,0.9998
vatican__francesco__en__speeches_2019_may_documents_papa_francesco_20190507_macedoniadelnord_giovani_html,0.083,0.703,0.214,0.9999
vatican__francesco__en__speeches_2019_may_documents_papa_francesco_20190509_pont_istitutobiblico_html,0.02,0.866,0.114,0.9985
vatican__francesco__en__speeches_2019_may_documents_papa_francesco_20190509_rom_sinti_html,0.164,0.673,0.163,0.4136
vatican__francesco__en__speeches_2019_may_documents_papa_francesco_20190510_papal_foundation_html,0.046,0.713,0.241,0.9977
vatican__francesco__en__speeches_2019_may_documents_papa_francesco_20190510_uisg_html,0.056,0.767,0.177,0.9997
vatican__francesco__en__speeches_2019_may_documents_papa_francesco_20190515_jewish_committee_html,0.044,0.714,0.242,0.9971
vatican__francesco__en__speeches_2019_may_documents_papa_francesco_20190516_lasalliani_html,0.036,0.793,0.171,0.9991
vatican__francesco__en__speeches_2019_may_documents_papa_francesco_20190517_sma_html,0.029,0.797,0.174,0.9986
vatican__francesco__en__speeches_2019_may_documents_papa_francesco_20190518_banchi_alimentari_html,0.109,0.701,0.19,0.9983
vatican__francesco__en__speeches_2019_may_documents_papa_francesco_20190518_stampaestera_html,0.091,0.727,0.182,0.9995
vatican__francesco__en__speeches_2019_may_documents_papa_francesco_20190520_pime_html,0.035,0.809,0.155,0.9996
vatican__francesco__en__speeches_2019_may_documents_papa_francesco_20190523_ambasciatori_html,0.069,0.69,0.241,0.9985
vatican__francesco__en__speeches_2019_may_documents_papa_francesco_20190524_musei_ecclesiastici_ita_html,0.01,0.759,0.232,0.9997
vatican__francesco__en__speeches_2019_may_documents_papa_francesco_20190524_ospedale_innocenti_firenze_html,0.079,0.701,0.22,0.9997
vatican__francesco__en__speeches_2019_may_documents_papa_francesco_20190525_yes_to_life_html,0.105,0.72,0.175,0.9991
vatican__francesco__en__speeches_2019_may_documents_papa_francesco_20190527_caritas_internationalis_html,0.087,0.666,0.247,0.9997
vatican__francesco__en__speeches_2019_may_documents_papa_francesco_20190527_climate_change_html,0.05,0.771,0.179,0.9985
vatican__francesco__en__speeches_2019_may_documents_papa_francesco_20190531_romania_autorita_html,0.026,0.802,0.173,0.9996
vatican__francesco__en__speeches_2019_may_documents_papa_francesco_20190531_romania_chiesa_ortodossaromena_html,0.057,0.778,0.165,0.9996
vatican__francesco__en__speeches_2019_may_documents_papa_francesco_20190531_romania_padrenostro_html,0.057,0.748,0.195,0.9996
vatican__francesco__en__speeches_2019_november_documents_papa_francesco_20191104_dirigenti_universita_html,0.026,0.862,0.111,0.9984
vatican__francesco__en__speeches_2019_november_documents_papa_francesco_20191107_giustiziasociale_ecologia_gesuiti_html,0.106,0.73,0.165,0.999
vatican__francesco__en__speeches_2019_november_documents_papa_francesco_20191108_esercito_salvezza_html,0.026,0.797,0.177,0.9969
vatican__francesco__en__speeches_2019_november_documents_papa_francesco_20191109_chiesa_musica_convegno_html,0.0,0.82,0.18,0.9994
vatican__francesco__en__speeches_2019_november_documents_papa_francesco_20191109_premio_ratzinger_html,0.013,0.786,0.201,0.9996
vatican__francesco__en__speeches_2019_november_documents_papa_francesco_20191111_consiglio_capitalismo_inclusivo_html,0.024,0.764,0.212,0.9994
vatican__francesco__en__speeches_2019_november_documents_papa_francesco_20191114_convegno_child_20dignity_html,0.09,0.724,0.186,0.9998
vatican__francesco__en__speeches_2019_november_documents_papa_francesco_20191114_loppiano_univ_sophia_html,0.009,0.828,0.162,0.9983
vatican__francesco__en__speeches_2019_november_documents_papa_francesco_20191114_lumsa_html,0.017,0.797,0.186,0.9996
vatican__francesco__en__speeches_2019_november_documents_papa_francesco_20191115_diritto_penale_html,0.158,0.712,0.129,-0.999
vatican__francesco__en__speeches_2019_november_documents_papa_francesco_20191118_cellule_evangelizzazione_html,0.018,0.832,0.15,0.9986
vatican__francesco__en__speeches_2019_november_documents_papa_francesco_20191118_dialogo_interreligioso_argentina_html,0.076,0.793,0.13,0.9942
vatican__francesco__en__speeches_2019_november_documents_papa_francesco_20191119_voloandata_thailandia_html,0.0,0.861,0.139,0.9117
vatican__francesco__en__speeches_2019_november_documents_papa_francesco_20191121_autorita_thailandia_html,0.058,0.713,0.229,0.9996
vatican__francesco__en__speeches_2019_november_documents_papa_francesco_20191121_patriarca_buddisti_thailandia_html,0.033,0.727,0.239,0.9994
vatican__francesco__en__speeches_2019_november_documents_papa_francesco_20191121_personalemedico_thailandia_html,0.068,0.698,0.234,0.9995
vatican__francesco__en__speeches_2019_november_documents_papa_francesco_20191122_consacrati_thailandia_html,0.053,0.708,0.239,0.9999
vatican__francesco__en__speeches_2019_november_documents_papa_francesco_20191122_leaderreligiosi_thailandia_html,0.036,0.725,0.239,0.9998
vatican__francesco__en__speeches_2019_november_documents_papa_francesco_20191122_vescovi_thailandia_fabc_html,0.04,0.738,0.222,0.9999
vatican__francesco__en__speeches_2019_november_documents_papa_francesco_20191123_vescovi_tokyo_html,0.054,0.727,0.219,0.9999
vatican__francesco__en__speeches_2019_november_documents_papa_francesco_20191124_messaggio_arminucleari_nagasaki_html,0.127,0.704,0.169,0.9958
vatican__francesco__en__speeches_2019_november_documents_papa_francesco_20191124_messaggio_incontropace_hiroshima_html,0.155,0.61,0.235,0.9992
vatican__francesco__en__speeches_2019_november_documents_papa_francesco_20191124_omaggio_santimartiri_nagasaki_html,0.067,0.747,0.185,0.9985
vatican__francesco__en__speeches_2019_november_documents_papa_francesco_20191125_autorita_tokyo_html,0.05,0.74,0.21,0.9996
vatican__francesco__en__speeches_2019_november_documents_papa_francesco_20191125_giovani_tokyo_html,0.109,0.685,0.205,0.9998
vatican__francesco__en__speeches_2019_november_documents_papa_francesco_20191125_vittime_triplicedisastro_tokyo_html,0.087,0.686,0.227,0.9997
vatican__francesco__en__speeches_2019_november_documents_papa_francesco_20191126_universita_tokyo_html,0.034,0.724,0.243,0.9998
vatican__francesco__en__speeches_2019_november_documents_papa_francesco_20191126_voloritorno_giappone_html,0.146,0.721,0.133,-0.9988
vatican__francesco__en__speeches_2019_november_documents_papa_francesco_20191127_fondazione_azerbaigian_html,0.0,0.764,0.236,0.9948
vatican__francesco__en__speeches_2019_november_documents_papa_francesco_20191129_centrostudi_rosariolivatino_html,0.055,0.8,0.145,0.9988
vatican__francesco__en__speeches_2019_november_documents_papa_francesco_20191129_commissione_teologica_html,0.023,0.781,0.196,0.9997
vatican__francesco__en__speeches_2019_november_documents_papa_francesco_20191130_chiesa_inuscita_html,0.109,0.681,0.21,0.9994
vatican__francesco__en__speeches_2019_november_documents_papa_francesco_20191130_corso_rotaromana_html,0.028,0.845,0.127,0.9988
vatican__francesco__en__speeches_2019_november_documents_papa_francesco_20191130_progetto_yopuedo_html,0.02,0.682,0.298,0.9999
vatican__francesco__en__speeches_2019_october_documents_papa_francesco_20191003_celam_html,0.011,0.884,0.105,0.9858
vatican__francesco__en__speeches_2019_october_documents_papa_francesco_20191003_ordine_santorsola_html,0.024,0.76,0.217,0.9997
vatican__francesco__en__speeches_2019_october_documents_papa_francesco_20191004_figlie_sanpaolo_html,0.043,0.783,0.174,0.9995
vatican__francesco__en__speeches_2019_october_documents_papa_francesco_20191005_congr_gesumaria_html,0.055,0.731,0.214,0.9998
vatican__francesco__en__speeches_2019_october_documents_papa_francesco_20191007_apertura_sinodo_html,0.051,0.838,0.111,0.9983
vatican__francesco__en__speeches_2019_october_documents_papa_francesco_20191013_nazionale_calcio_html,0.057,0.736,0.207,0.9985
vatican__francesco__en__speeches_2019_october_documents_papa_francesco_20191018_inaugurazione_museo_animamundi_html,0.018,0.818,0.165,0.9982
vatican__francesco__en__speeches_2019_october_documents_papa_francesco_20191025_servi_dimaria_html,0.053,0.782,0.166,0.9998
vatican__francesco__en__speeches_2019_october_documents_papa_francesco_20191026_chiusura_sinodo_html,0.049,0.813,0.138,0.9998
vatican__francesco__en__speeches_2019_october_documents_papa_francesco_20191031_cappellani_militari_html,0.091,0.732,0.177,0.9985
vatican__francesco__en__speeches_2019_october_documents_papa_francesco_20191031_fondazione_dongnocchi_html,0.074,0.669,0.257,0.9997
vatican__francesco__en__speeches_2019_september_documents_papa_francesco_20190902_aiom_html,0.087,0.708,0.205,0.9993
vatican__francesco__en__speeches_2019_september_documents_papa_francesco_20190902_chiesa_ucraina_html,0.074,0.79,0.137,0.9779
vatican__francesco__en__speeches_2019_september_documents_papa_francesco_20190904_voloandata_mozambico_html,0.035,0.725,0.24,0.9992
vatican__francesco__en__speeches_2019_september_documents_papa_francesco_20190905_autorita_mozambico_html,0.088,0.658,0.254,0.9998
vatican__francesco__en__speeches_2019_september_documents_papa_francesco_20190905_consacrati_mozambico_html,0.064,0.756,0.18,0.9999
vatican__francesco__en__speeches_2019_september_documents_papa_francesco_20190905_giovani_mozambico_html,0.096,0.664,0.24,0.9999
vatican__francesco__en__speeches_2019_september_documents_papa_francesco_20190906_ospedale_mozambico_html,0.087,0.71,0.204,0.9993
vatican__francesco__en__speeches_2019_september_documents_papa_francesco_20190907_autorita_madagascar_html,0.047,0.757,0.196,0.9996
vatican__francesco__en__speeches_2019_september_documents_papa_francesco_20190907_vegliagiovani_madagascar_html,0.074,0.718,0.208,0.9998
vatican__francesco__en__speeches_2019_september_documents_papa_francesco_20190907_vescovi_madagascar_html,0.066,0.749,0.185,0.9999
vatican__francesco__en__speeches_2019_september_documents_papa_francesco_20190908_cittaamicizia_madagascar_html,0.07,0.703,0.228,0.9993
vatican__francesco__en__speeches_2019_september_documents_papa_francesco_20190908_consacrati_madagascar_html,0.073,0.677,0.25,0.9999
vatican__francesco__en__speeches_2019_september_documents_papa_francesco_20190909_autorita_maurizio_html,0.03,0.724,0.246,0.9998
vatican__francesco__en__speeches_2019_september_documents_papa_francesco_20190912_agostiniani_scalzi_html,0.048,0.779,0.173,0.9992
vatican__francesco__en__speeches_2019_september_documents_papa_francesco_20190912_corso_vescovi_html,0.077,0.737,0.186,0.9995
vatican__francesco__en__speeches_2019_september_documents_papa_francesco_20190913_agostiniani_html,0.033,0.767,0.2,0.9997
vatican__francesco__en__speeches_2019_september_documents_papa_francesco_20190914_comunita_abramo_html,0.021,0.788,0.191,0.9994
vatican__francesco__en__speeches_2019_september_documents_papa_francesco_20190914_polizia_penitenziaria_html,0.133,0.641,0.226,0.9992
vatican__francesco__en__speeches_2019_september_documents_papa_francesco_20190914_vescovior_cattolici_html,0.065,0.748,0.187,0.9995
vatican__francesco__en__speeches_2019_september_documents_papa_francesco_20190916_ferrovie_italiane_html,0.017,0.795,0.188,0.9996
vatican__francesco__en__speeches_2019_september_documents_papa_francesco_20190916_giornalisti_rai_html,0.026,0.823,0.151,0.9985
vatican__francesco__en__speeches_2019_september_documents_papa_francesco_20190919_diritto_chieseorientali_html,0.0,0.828,0.172,0.9985
vatican__francesco__en__speeches_2019_september_documents_papa_francesco_20190920_medici_html,0.064,0.773,0.163,0.996
vatican__francesco__en__speeches_2019_september_documents_papa_francesco_20190920_somos_community_care_html,0.057,0.732,0.211,0.9988
vatican__francesco__en__speeches_2019_september_documents_papa_francesco_20190921_carmelitani_html,0.067,0.721,0.213,0.9996
vatican__francesco__en__speeches_2019_september_documents_papa_francesco_20190921_nuova_evangelizzazione_html,0.06,0.693,0.247,0.9999
vatican__francesco__en__speeches_2019_september_documents_papa_francesco_20190923_dicastero_comunicazione_html,0.033,0.769,0.197,0.9999
vatican__francesco__en__speeches_2019_september_documents_papa_francesco_20190923_stampa_italiana_html,0.066,0.761,0.173,0.9985
vatican__francesco__en__speeches_2019_september_documents_papa_francesco_20190926_talitha_kum_html,0.025,0.836,0.139,0.9979
vatican__francesco__en__speeches_2019_september_documents_papa_francesco_20190927_eradigitale_html,0.062,0.683,0.255,0.9998
vatican__francesco__en__speeches_2019_september_documents_papa_francesco_20190927_federazione_hockey_html,0.02,0.727,0.253,0.999
vatican__francesco__en__speeches_2019_september_documents_papa_francesco_20190928_centrosociale_braga_html,0.021,0.774,0.205,0.9979
vatican__francesco__en__speeches_2019_september_documents_papa_francesco_20190928_federazione_ginnastica_html,0.093,0.583,0.324,0.9987
vatican__francesco__en__speeches_2019_september_documents_papa_francesco_20190928_scholae_cantorum_html,0.013,0.727,0.259,0.9998
vatican__francesco__en__speeches_2019_september_documents_papa_francesco_20190930_delegazioni_istituti_missionari_html,0.031,0.777,0.191,0.9998
vatican__francesco__en__speeches_2020_december_documents_papa_francesco_20201204_ambasciatori_html,0.069,0.784,0.147,0.9942
vatican__francesco__en__speeches_2020_december_documents_papa_francesco_20201211_delegazioni_presepe_html,0.034,0.791,0.175,0.9974
vatican__francesco__en__speeches_2020_december_documents_papa_francesco_20201212_artisti_concertodinatale_html,0.05,0.691,0.259,0.9996
vatican__francesco__en__speeches_2020_december_documents_papa_francesco_20201218_studenti_html,0.015,0.739,0.246,0.9989
vatican__francesco__en__speeches_2020_december_documents_papa_francesco_20201221_curia_romana_html,0.167,0.68,0.153,-0.999
vatican__francesco__en__speeches_2020_december_documents_papa_francesco_20201221_dipendenti_scv_html,0.082,0.708,0.21,0.9997
vatican__francesco__en__speeches_2020_february_documents_papa_francesco_20200201_gvm_care_html,0.091,0.703,0.206,0.9989
vatican__francesco__en__speeches_2020_february_documents_papa_francesco_20200206_fiere_mondiali_html,0.016,0.733,0.251,0.9994
vatican__francesco__en__speeches_2020_february_documents_papa_francesco_20200207_education_globalcompact_html,0.025,0.834,0.141,0.9993
vatican__francesco__en__speeches_2020_february_documents_papa_francesco_20200210_cavalieri_dicolombo_html,0.054,0.746,0.2,0.9967
vatican__francesco__en__speeches_2020_february_documents_papa_francesco_20200215_apertura_annogiudiziario_html,0.068,0.707,0.225,0.9998
vatican__francesco__en__speeches_2020_february_documents_papa_francesco_20200220_congregaz_educaz_cattolica_html,0.035,0.767,0.198,0.9997
vatican__francesco__en__speeches_2020_february_documents_papa_francesco_20200221_delegazione_panortodossa_html,0.024,0.684,0.292,0.9995
vatican__francesco__en__speeches_2020_february_documents_papa_francesco_20200221_testi_legislativi_html,0.079,0.773,0.148,0.9957
vatican__francesco__en__speeches_2020_february_documents_papa_francesco_20200223_visita_bari_html,0.076,0.76,0.165,0.9998
vatican__francesco__en__speeches_2020_february_documents_papa_francesco_20200224_pro_petri_sede_html,0.092,0.735,0.173,0.9943
vatican__francesco__en__speeches_2020_february_documents_papa_francesco_20200227_clero_roma_html,0.112,0.707,0.18,0.9998
vatican__francesco__en__speeches_2020_february_documents_papa_francesco_20200228_accademia_perlavita_html,0.017,0.801,0.182,0.9998
vatican__francesco__en__speeches_2020_january_documents_papa_francesco_20200109_corpo_diplomatico_html,0.111,0.705,0.185,0.9999
vatican__francesco__en__speeches_2020_january_documents_papa_francesco_20200111_collegio_etiopico_html,0.027,0.759,0.214,0.9995
vatican__francesco__en__speeches_2020_january_documents_papa_francesco_20200117_chiesa_luterana_finlandia_html,0.009,0.823,0.168,0.9975
vatican__francesco__en__speeches_2020_january_documents_papa_francesco_20200118_pescatori_html,0.045,0.764,0.191,0.9977
vatican__francesco__en__speeches_2020_january_documents_papa_francesco_20200120_simon_wiesenthal_center_html,0.097,0.759,0.144,0.9867
vatican__francesco__en__speeches_2020_january_documents_papa_francesco_20200125_rota_romana_html,0.043,0.782,0.175,0.9998
vatican__francesco__en__speeches_2020_january_documents_papa_francesco_20200131_congresso_pastoraleanziani_html,0.038,0.784,0.177,0.9995
vatican__francesco__en__speeches_2020_june_documents_papa_francesco_20200620_operatorisanitari_lombardia_html,0.057,0.706,0.237,0.9999
vatican__francesco__en__speeches_2020_march_documents_papa_francesco_20200325_recita_padrenostro_html,0.016,0.855,0.129,0.9633
vatican__francesco__en__speeches_2020_october_documents_papa_francesco_20201002_guardie_svizzere_html,0.01,0.813,0.177,0.997
vatican__francesco__en__speeches_2020_october_documents_papa_francesco_20201003_firma_enciclica_fratelli_tutti_assisi_html,0.009,0.927,0.063,0.8786
vatican__francesco__en__speeches_2020_october_documents_papa_francesco_20201005_personale_cassadepositi_html,0.011,0.809,0.18,0.9987
vatican__francesco__en__speeches_2020_october_documents_papa_francesco_20201008_comitato_moneyval_html,0.043,0.829,0.128,0.9964
vatican__francesco__en__speeches_2020_october_documents_papa_francesco_20201010_arcidiocesi_ravenna_cervia_html,0.053,0.758,0.188,0.9992
vatican__francesco__en__speeches_2020_october_documents_papa_francesco_20201017_carabinieri_html,0.008,0.753,0.24,0.9995
vatican__francesco__en__speeches_2020_september_documents_papa_francesco_20200903_laici_ecologia_html,0.061,0.749,0.19,0.9999
vatican__francesco__en__speeches_2020_september_documents_papa_francesco_20200910_snapshots_fromtheborders_html,0.046,0.778,0.175,0.9981
vatican__francesco__en__speeches_2020_september_documents_papa_francesco_20200911_congresso_ginecologiaoncologica_html,0.057,0.711,0.232,0.9995
vatican__francesco__en__speeches_2020_september_documents_papa_francesco_20200912_comunita_laudatosi_html,0.089,0.704,0.206,0.9997
vatican__francesco__en__speeches_2020_september_documents_papa_francesco_20200912_familiari_corinaldo_html,0.179,0.66,0.161,-0.9565
vatican__francesco__en__speeches_2020_september_documents_papa_francesco_20200918_redazione_settimanalebelga_html,0.047,0.762,0.191,0.9991
vatican__francesco__en__speeches_2020_september_documents_papa_francesco_20200919_banco_farmaceutico_html,0.058,0.799,0.143,0.9928
vatican__francesco__en__speeches_2020_september_documents_papa_francesco_20200921_bambini_austria_html,0.007,0.698,0.294,0.9989
vatican__francesco__en__speeches_2020_september_documents_papa_francesco_20200928_ispettoratops_vaticano_html,0.041,0.77,0.189,0.9991
vatican__francesco__en__speeches_2021_april_documents_papa_francesco_20210422_pallanuoto_html,0.043,0.738,0.22,0.9928
vatican__francesco__en__speeches_2021_april_documents_papa_francesco_20210426_clarisse_paganica_html,0.075,0.667,0.257,0.9983
vatican__francesco__en__speeches_2021_april_documents_papa_francesco_20210430_chemin_neuf_html,0.056,0.778,0.166,0.9977
