doc_id,vader_neg,vader_neu,vader_pos,vader_compound
pope_paul_vi__pastoral_norms_for_general_sacramental_absolution,0.085,0.778,0.137,0.9982
pope_paul_vi__pastorale_munus,0.051,0.798,0.151,0.9997
pope_paul_vi__populorum_progressio,0.086,0.732,0.182,0.9999
pope_paul_vi__reflections_at_nazareth,0.038,0.708,0.255,0.9999
pope_paul_vi__renewal_of_the_religious_life,0.049,0.76,0.191,1.0
pope_paul_vi__sacerdotalis_caelibatus,0.031,0.75,0.219,1.0
pope_paul_vi__sacram_liturgiam,0.003,0.878,0.119,0.9993
pope_paul_vi__sacrum_diaconatus,0.006,0.842,0.152,0.9999
pope_paul_vi__second_vatican_council_ii_closing_speech,0.07,0.71,0.22,1.0
pope_paul_vi__signum_magnum,0.027,0.723,0.25,1.0
pope_paul_vi__the_sacrament_of_anointing_of_the_sick,0.081,0.827,0.093,0.3883
pope_paul_vi__vatican_ii_documents,0.0,0.959,0.041,0.8316
pope_paul_vi__voi_forse_sapete,0.033,0.746,0.221,0.9998
pope_pius_vi__charitas,0.106,0.805,0.089,-0.999
pope_pius_vi__inscrutabile,0.124,0.653,0.223,0.9999
pope_pius_vii__diu_satis,0.105,0.719,0.176,0.9997
pope_pius_viii__traditi_humilitati,0.115,0.714,0.171,0.9993
pope_pius_xi__acerba_animi,0.103,0.731,0.167,0.9998
pope_pius_xi__ad_catholici_sacerdotii,0.056,0.715,0.229,1.0
pope_pius_xi__ad_salutem,0.069,0.726,0.204,1.0
pope_pius_xi__caritate_christi_compulsi,0.107,0.7,0.192,0.9999
pope_pius_xi__casti_connubii,0.04,0.723,0.236,1.0
pope_pius_xi__dilectissima_nobis,0.099,0.712,0.19,0.9999
pope_pius_xi__divini_illius_magistri_december_31__1929,0.038,0.778,0.183,1.0
pope_pius_xi__divini_redemptoris,0.106,0.766,0.128,0.9985
pope_pius_xi__ecclesiam_dei,0.053,0.762,0.185,1.0
pope_pius_xi__ingravescentibus_malis,0.095,0.679,0.226,0.9999
pope_pius_xi__iniquis_afflictisque,0.113,0.745,0.143,0.9992
pope_pius_xi__lux_veritatis,0.059,0.789,0.153,0.9999
pope_pius_xi__maximam_gravissimamque,0.063,0.746,0.191,0.9999
pope_pius_xi__mens_nostra,0.035,0.716,0.249,1.0
pope_pius_xi__miserentissimus_redemptor,0.105,0.717,0.178,0.9999
pope_pius_xi__mit_brennender_sorge,0.097,0.701,0.202,0.9999
pope_pius_xi__mortalium_animos,0.049,0.781,0.17,1.0
pope_pius_xi__non_abbiamo_bisogno,0.079,0.74,0.181,0.9999
pope_pius_xi__nos_es_muy_conocida,0.068,0.741,0.191,1.0
pope_pius_xi__nova_impendet,0.065,0.757,0.178,0.9995
pope_pius_xi__quadragesimo_anno,0.067,0.738,0.196,1.0
pope_pius_xi__quas_primas,0.051,0.759,0.19,1.0
pope_pius_xi__quinquagesimo_ante,0.053,0.727,0.22,1.0
pope_pius_xi__rerum_condicio,0.0,0.876,0.124,0.7003
pope_pius_xi__rerum_ecclesiae,0.047,0.752,0.201,1.0
pope_pius_xi__rerum_omnium_perturbationem,0.076,0.718,0.206,1.0
pope_pius_xi__rerum_orientalium,0.029,0.796,0.175,1.0
pope_pius_xi__rite_expiatis,0.094,0.694,0.212,1.0
pope_pius_xi__studiorum_ducem,0.042,0.751,0.207,1.0
pope_pius_xi__ubi_arcano_dei_consilio,0.141,0.681,0.178,0.9996
pope_pius_xi__vigilanti_cura,0.064,0.74,0.196,1.0
pope_pius_xii__ad_apostolorum_principis,0.092,0.728,0.18,0.9999
pope_pius_xii__ad_caeli_reginam,0.033,0.726,0.242,1.0
pope_pius_xii__ad_sinarum_gentem,0.061,0.724,0.215,1.0
pope_pius_xii__address_to_midwives_on_the_nature_of_their_profess,0.09,0.729,0.181,0.9999
pope_pius_xii__anni_sacri,0.149,0.647,0.204,0.9986
pope_pius_xii__applied_psychology,0.056,0.808,0.136,0.9999
pope_pius_xii__auspicia_quaedam,0.071,0.687,0.242,0.9998
pope_pius_xii__christus_dominus,0.053,0.804,0.143,0.9999
pope_pius_xii__communium_interpretes_doloraum,0.127,0.633,0.24,0.9995
pope_pius_xii__counsel_to_teaching_sisters,0.056,0.735,0.209,0.9999
pope_pius_xii__datis_nuperrime,0.141,0.651,0.208,0.9892
pope_pius_xii__deiparae_virginis_mariae,0.012,0.756,0.232,0.9994
pope_pius_xii__democracy_and_a_lasting_peace,0.103,0.706,0.19,0.9999
pope_pius_xii__divino_afflante_spiritu,0.04,0.767,0.193,1.0
pope_pius_xii__doctor_mellifluus,0.065,0.643,0.293,1.0
pope_pius_xii__ecclesiae_fastos,0.053,0.709,0.238,1.0
pope_pius_xii__evangelii_praecones,0.049,0.775,0.176,1.0
pope_pius_xii__exsul_familia_nazarethana,0.069,0.75,0.182,1.0
pope_pius_xii__fidei_donum,0.055,0.777,0.169,1.0
pope_pius_xii__fulgens_corona,0.073,0.681,0.246,1.0
pope_pius_xii__fulgens_radiatur,0.069,0.684,0.247,1.0
pope_pius_xii__guiding_principles_of_the_lay_apostolate,0.03,0.828,0.141,0.9999
pope_pius_xii__haurietis_aquas,0.044,0.696,0.26,1.0
pope_pius_xii__humani_generis,0.085,0.725,0.19,1.0
pope_pius_xii__in_multiplicibus_curis,0.093,0.668,0.239,0.9997
pope_pius_xii__ingruentium_malorum,0.063,0.708,0.229,0.9999
pope_pius_xii__invicti_athletae,0.093,0.668,0.239,1.0
pope_pius_xii__laetamur_admodum,0.11,0.647,0.244,0.9991
pope_pius_xii__le_pelerinage_de_lourdes,0.054,0.721,0.225,1.0
pope_pius_xii__luctuosissimi_eventus,0.07,0.659,0.271,0.9998
pope_pius_xii__mediator_dei,0.037,0.759,0.204,1.0
pope_pius_xii__meminisse_iuvat,0.097,0.677,0.226,1.0
pope_pius_xii__menti_nostrae,0.047,0.736,0.216,1.0
pope_pius_xii__mirabile_illud,0.109,0.644,0.247,0.9997
pope_pius_xii__miranda_prorsus,0.055,0.729,0.216,1.0
pope_pius_xii__munificentissimus_deus,0.026,0.73,0.244,1.0
pope_pius_xii__musicae_sacrae,0.025,0.765,0.21,1.0
pope_pius_xii__mystici_corporis,0.068,0.745,0.187,1.0
pope_pius_xii__on_psychotherapy_and_religion,0.075,0.803,0.122,0.9996
pope_pius_xii__on_rural_life,0.072,0.731,0.198,0.9999
pope_pius_xii__optatissima_pax,0.155,0.628,0.216,0.9986
pope_pius_xii__orientales_omnes_ecclesias,0.077,0.74,0.183,1.0
pope_pius_xii__orientalis_ecclesiae,0.056,0.702,0.242,1.0
pope_pius_xii__papal_directives_for_the_woman_of_today,0.093,0.698,0.209,0.9999
pope_pius_xii__quemadmodum,0.08,0.674,0.246,0.9999
pope_pius_xii__redemptoris_nostri_cruciatus,0.096,0.678,0.226,0.9996
pope_pius_xii__sacra_virginitas,0.03,0.725,0.245,1.0
pope_pius_xii__sacram_communionem,0.042,0.836,0.122,0.9986
pope_pius_xii__sacramentum_ordinis,0.022,0.878,0.1,0.9987
pope_pius_xii__saeculo_exeunte_octavo,0.034,0.732,0.234,1.0
pope_pius_xii__sempiternus_rex_christus,0.061,0.795,0.144,0.9999
